product,plant_line,day,production_amount
Product0,PP0-L0,1,0.0
Product0,PP0-L0,2,0.0
Product0,PP0-L0,3,0.0
Product0,PP0-L0,4,0.0
Product0,PP0-L0,5,0.0
Product0,PP0-L0,6,0.0
Product0,PP0-L0,7,0.0
Product0,PP0-L0,8,0.0
Product0,PP0-L0,9,0.0
Product0,PP0-L0,10,0.0
Product0,PP0-L0,11,0.0
Product0,PP0-L0,12,0.0
Product0,PP0-L0,13,0.0
Product0,PP0-L0,14,0.0
Product0,PP0-L0,15,0.0
Product0,PP0-L0,16,0.0
Product0,PP0-L0,17,0.0
Product0,PP0-L0,18,0.0
Product0,PP0-L0,19,0.0
Product0,PP0-L0,20,0.0
Product0,PP0-L0,21,0.0
Product0,PP0-L0,22,0.0
Product0,PP0-L0,23,0.0
Product0,PP0-L0,24,0.0
Product0,PP0-L0,25,0.0
Product0,PP0-L0,26,0.0
Product0,PP0-L0,27,0.0
Product0,PP0-L0,28,0.0
Product0,PP0-L0,29,0.0
Product0,PP0-L0,30,0.0
Product0,PP0-L0,31,40.0
Product0,PP0-L0,32,0.0
Product0,PP0-L0,33,0.0
Product0,PP0-L0,34,0.0
Product0,PP0-L0,35,0.0
Product0,PP0-L1,1,0.0
Product0,PP0-L1,2,0.0
Product0,PP0-L1,3,0.0
Product0,PP0-L1,4,0.0
Product0,PP0-L1,5,0.0
Product0,PP0-L1,6,0.0
Product0,PP0-L1,7,0.0
Product0,PP0-L1,8,0.0
Product0,PP0-L1,9,0.0
Product0,PP0-L1,10,0.0
Product0,PP0-L1,11,0.0
Product0,PP0-L1,12,0.0
Product0,PP0-L1,13,0.0
Product0,PP0-L1,14,0.0
Product0,PP0-L1,15,0.0
Product0,PP0-L1,16,0.0
Product0,PP0-L1,17,0.0
Product0,PP0-L1,18,0.0
Product0,PP0-L1,19,0.0
Product0,PP0-L1,20,0.0
Product0,PP0-L1,21,0.0
Product0,PP0-L1,22,0.0
Product0,PP0-L1,23,0.0
Product0,PP0-L1,24,0.0
Product0,PP0-L1,25,0.0
Product0,PP0-L1,26,160.0
Product0,PP0-L1,27,80.0
Product0,PP0-L1,28,160.0
Product0,PP0-L1,29,0.0
Product0,PP0-L1,30,0.0
Product0,PP0-L1,31,80.0
Product0,PP0-L1,32,0.0
Product0,PP0-L1,33,0.0
Product0,PP0-L1,34,0.0
Product0,PP0-L1,35,0.0
Product0,PP0-L2,1,0.0
Product0,PP0-L2,2,0.0
Product0,PP0-L2,3,0.0
Product0,PP0-L2,4,0.0
Product0,PP0-L2,5,0.0
Product0,PP0-L2,6,0.0
Product0,PP0-L2,7,0.0
Product0,PP0-L2,8,0.0
Product0,PP0-L2,9,0.0
Product0,PP0-L2,10,0.0
Product0,PP0-L2,11,0.0
Product0,PP0-L2,12,0.0
Product0,PP0-L2,13,0.0
Product0,PP0-L2,14,0.0
Product0,PP0-L2,15,0.0
Product0,PP0-L2,16,0.0
Product0,PP0-L2,17,0.0
Product0,PP0-L2,18,0.0
Product0,PP0-L2,19,0.0
Product0,PP0-L2,20,0.0
Product0,PP0-L2,21,0.0
Product0,PP0-L2,22,0.0
Product0,PP0-L2,23,0.0
Product0,PP0-L2,24,0.0
Product0,PP0-L2,25,0.0
Product0,PP0-L2,26,0.0
Product0,PP0-L2,27,0.0
Product0,PP0-L2,28,0.0
Product0,PP0-L2,29,0.0
Product0,PP0-L2,30,0.0
Product0,PP0-L2,31,0.0
Product0,PP0-L2,32,80.0
Product0,PP0-L2,33,80.0
Product0,PP0-L2,34,0.0
Product0,PP0-L2,35,160.0
Product0,PP0-L3,1,0.0
Product0,PP0-L3,2,0.0
Product0,PP0-L3,3,0.0
Product0,PP0-L3,4,0.0
Product0,PP0-L3,5,0.0
Product0,PP0-L3,6,0.0
Product0,PP0-L3,7,0.0
Product0,PP0-L3,8,0.0
Product0,PP0-L3,9,0.0
Product0,PP0-L3,10,0.0
Product0,PP0-L3,11,0.0
Product0,PP0-L3,12,0.0
Product0,PP0-L3,13,0.0
Product0,PP0-L3,14,0.0
Product0,PP0-L3,15,0.0
Product0,PP0-L3,16,0.0
Product0,PP0-L3,17,0.0
Product0,PP0-L3,18,0.0
Product0,PP0-L3,19,0.0
Product0,PP0-L3,20,0.0
Product0,PP0-L3,21,0.0
Product0,PP0-L3,22,0.0
Product0,PP0-L3,23,0.0
Product0,PP0-L3,24,0.0
Product0,PP0-L3,25,0.0
Product0,PP0-L3,26,0.0
Product0,PP0-L3,27,40.0
Product0,PP0-L3,28,40.0
Product0,PP0-L3,29,0.0
Product0,PP0-L3,30,0.0
Product0,PP0-L3,31,0.0
Product0,PP0-L3,32,0.0
Product0,PP0-L3,33,40.0
Product0,PP0-L3,34,0.0
Product0,PP0-L3,35,40.0
Product0,PP0-L4,1,0.0
Product0,PP0-L4,2,0.0
Product0,PP0-L4,3,0.0
Product0,PP0-L4,4,0.0
Product0,PP0-L4,5,0.0
Product0,PP0-L4,6,0.0
Product0,PP0-L4,7,0.0
Product0,PP0-L4,8,0.0
Product0,PP0-L4,9,0.0
Product0,PP0-L4,10,0.0
Product0,PP0-L4,11,0.0
Product0,PP0-L4,12,0.0
Product0,PP0-L4,13,0.0
Product0,PP0-L4,14,0.0
Product0,PP0-L4,15,0.0
Product0,PP0-L4,16,0.0
Product0,PP0-L4,17,0.0
Product0,PP0-L4,18,0.0
Product0,PP0-L4,19,0.0
Product0,PP0-L4,20,0.0
Product0,PP0-L4,21,0.0
Product0,PP0-L4,22,0.0
Product0,PP0-L4,23,0.0
Product0,PP0-L4,24,0.0
